"","Gender","Age","EduLevel","Major","StatsClass","StatsClassAgo","HorseRaceExposure","HorseRaceUtility","PollTrust","PollResult","LeadOverMoE","BattleForMoE","Trend","PresentationPreference","Treatment","Likelihood"
"175","Male",20,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","1-3 years ago","Often","Somewhat useful","Agree",1,2,4,3,"Graphics","3","a"
"176","Female",21,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","1-3 years ago","Often","Not useful","Disagree",NA,NA,NA,NA,"Graphics","3","b"
"177","Female",21,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","1-3 years ago","Occasionally","Somewhat useful","Disagree",1,3,2,4,"Text","3","a"
"178","Female",21,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","1-3 years ago","Occasionally","Somewhat useful","Disagree",3,2,1,4,"Text","3","b"
"179","Female",21,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","1-3 years ago","Occasionally","Somewhat useful","Agree",3,1,4,2,"Graphics","3","a"
"180","Female",20,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","1-3 years ago","Occasionally","Somewhat useful","Disagree",1,2,3,4,"Text","3","a"
"181","Female",22,"Some college","Arts & Humanities (English, art, history, etc.)","Yes","3-5 years ago","Often","Somewhat useful","Agree",3,1,2,4,"Graphics","3","b"
"182","Male",19,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","Less than a year ago","Often","Somewhat useful","Disagree",4,2,3,1,"Graphics","3","a"
"183","Female",20,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","Less than a year ago","Occasionally","Somewhat useful","Agree",2,3,1,4,"Text","3","b"
"184","Male",20,"Some college","Natural Sciences (biology, physics, geology, etc.)","No",NA,"Never","Somewhat useful","Disagree",1,4,2,3,"Graphics","3","a"
"185","Female",52,"Post-graduate or more","Mathematics/Computer Science (applied math, pure math, statistics, etc.)","Yes","6+ years ago","Occasionally","Somewhat useful","Agree",4,3,2,1,"Text","3","b"
"186","Female",20,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","3-5 years ago","Occasionally","Somewhat useful","Neither Agree nor Disagree",1,4,3,2,"Text","3","b"
"187","Male",29,"Post-graduate or more","Foreign Language/Area Studies (Portuguese, African studies, European studies, etc.)","No",NA,"Often","Somewhat useful","Agree",2,4,3,1,"Text","3","a"
"188","Male",20,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","1-3 years ago","Occasionally","Somewhat useful","Agree",3,2,1,4,"Graphics","3","b"
"189","Male",16,"Some HS or less",NA,"Yes","Less than a year ago","Never","Somewhat useful","Neither Agree nor Disagree",1,4,2,3,"Graphics","3","c"
"190","Female",39,"Graduated college","Arts & Humanities (English, art, history, etc.)","Yes","6+ years ago","Often","Somewhat useful","Disagree",NA,NA,NA,NA,"Text","3","b"
"191","Female",56,"Post-graduate or more","Natural Sciences (biology, physics, geology, etc.)","Yes","6+ years ago","Often","Not useful","Disagree",3,1,2,4,"Text","3","a"
"192","Male",40,"Post-graduate or more","Natural Sciences (biology, physics, geology, etc.)","Yes","6+ years ago","Often","Somewhat useful","Agree",3,2,4,1,"Text","3","b"
"193","Female",52,"Graduated college","Other","No",NA,"Never","Not useful","Disagree",NA,NA,NA,NA,"Graphics","3","b"
"194","Female",42,"Graduated college","Other","Yes","6+ years ago","Often","Somewhat useful","Agree",1,3,2,4,"Graphics","3","c"
"195","Female",39,"Graduated college","Arts & Humanities (English, art, history, etc.)","Yes","6+ years ago","Never","Somewhat useful","Neither Agree nor Disagree",2,3,1,4,"Graphics","3","b"
"196","Female",59,"Post-graduate or more","Social Sciences (economics, psychology, political science, etc.)","Yes","6+ years ago","Occasionally","Somewhat useful","Agree",NA,NA,NA,NA,"Graphics","3","b"
"197","Male",17,"Some HS or less",NA,"Yes","Less than a year ago","Never","Somewhat useful","Agree",2,4,3,1,"Graphics","3","a"
"198","Female",54,"Post-graduate or more","Social Sciences (economics, psychology, political science, etc.)","Yes","6+ years ago","Occasionally","Somewhat useful","Agree",2,1,3,4,"Graphics","3","c"
"199","Female",16,"Some HS or less",NA,"No",NA,"Occasionally","Somewhat useful","Disagree",4,3,2,1,"Graphics","3","b"
"200","Female",40,"Some college","Other","No",NA,"Never","Somewhat useful","Disagree",2,1,3,4,"Graphics","3","b"
"201","Female",62,"Post-graduate or more","Arts & Humanities (English, art, history, etc.)","Yes","6+ years ago","Often","Not useful","Disagree",1,3,2,4,"Text","3","b"
"202","Female",38,"Graduated college","Arts & Humanities (English, art, history, etc.)","Yes","6+ years ago","Never","Somewhat useful","Disagree",3,1,4,2,"Text","3","a"
"203","Male",57,"Some college","Other","Yes","6+ years ago","Occasionally","Somewhat useful","Agree",3,1,2,4,"Graphics","3","b"
"204","Male",14,"Some HS or less","Mathematics/Computer Science (applied math, pure math, statistics, etc.)","No",NA,"Occasionally","Very useful","Disagree",3,1,4,2,"Graphics","3","b"
"205","Male",26,"Post-graduate or more","Natural Sciences (biology, physics, geology, etc.)","Yes","1-3 years ago","Never","Not useful","Disagree",4,3,2,1,"Graphics","3","a"
"206","Female",54,"Graduated college","Other","Yes","6+ years ago","Occasionally","Somewhat useful","Neither Agree nor Disagree",4,3,2,1,"Text","3","b"
"207","Male",16,"Some HS or less",NA,"Yes",NA,"Never","Very useful","Agree",NA,NA,NA,NA,"Text","3","b"
"208","Female",20,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","1-3 years ago","Never","Not useful","Disagree",3,1,2,4,"Text","3","a"
"209","Female",43,"Graduated college","Natural Sciences (biology, physics, geology, etc.)","Yes","6+ years ago","Occasionally","Somewhat useful","Neither Agree nor Disagree",4,2,1,3,"Text","3","b"
"210","Female",63,"Some college","Arts & Humanities (English, art, history, etc.)","No",NA,"Occasionally","Not useful","Disagree",4,3,2,1,"Graphics","3","b"
"211","Male",42,"Post-graduate or more","Other","Yes","6+ years ago","Occasionally","Somewhat useful","Agree",1,2,3,4,"Graphics","3","b"
"212","Male",21,"Some college","Mathematics/Computer Science (applied math, pure math, statistics, etc.)","Yes","Less than a year ago","Often","Very useful","Agree",4,2,3,1,"Graphics","3","c"
"213","Female",22,"Some college","Natural Sciences (biology, physics, geology, etc.)","No",NA,"Never","Not useful","Disagree",4,3,2,1,"Graphics","3","a"
"214","Male",24,"Graduated college","Social Sciences (economics, psychology, political science, etc.)","Yes","3-5 years ago","Often","Not useful","Disagree",1,4,3,2,"Graphics","3","c"
"215","Female",21,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","Less than a year ago","Often","Somewhat useful","Disagree",2,1,4,3,"Graphics","3","a"
